"","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","first_round","quarter","semi","small_final","big_final","fall_first_round","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_first_round","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","tomoa_skip","year","start_date","end_date","event"
"2625",16,"aleksandr","shikov","CFR",5.89,NA,FALSE,FALSE,TRUE,FALSE,"M",1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2626",17,"kostiantyn","pavlenko","UKR",5.96,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,5.967,6.095,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2627",18,"ludovico","fossali","ITA",5.98,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,5.988,6.28,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2628",19,"carlos","granja","ECU",5.99,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,5.992,7.15,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2629",20,"milad","alipour shenazandifar","IRI",6.04,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.12,6.041,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2630",21,"ehsan","asrar","IRI",6.08,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.081,6.222,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2631",22,"amir reza","karam zadeh","IRI",6.14,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.141,7.806,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2632",23,"beknur","altynbekov","KAZ",6.196,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.196,9.366,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2633",24,"yongjun","jung","KOR",6.197,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.689,6.197,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2634",25,"linus","bader","GER",6.26,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.353,6.266,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
